"HSMP_INNB"|"PNU"|"LNNO_ADRES"|"POTVALE_IFRA_HSMP_NM"|"DONG_CNT"|"NMHSH"|"USE_APRV_YMD"|"DRTS_CASCNT"|"BKAG_CASCNT"|"DRTS_RATE"|"BKAG_RATE"|"PCPP"|"OLYR_PCPP"|"SMLYC_PCPP"
"11140120150063"|"1114017300102310000"|"서울특별시 중구 만리동1가 231"|"LIG서울역리가"|4|181|"2012-01-31"|0|4|0|1|57115384.615385|51439560.43956|50769230.769231
"11140120183535"|"1114016500107870000"|"서울특별시 중구 황학동 787"|"한양I-Class"|1|100|"2013-09-13"|0|1|0|1|26600000|26171428.571429|26900000
"11140120287930"|"1114016500108190000"|"서울특별시 중구 황학동 819"|"DUO302"|1|98|"2014-04-18"|0|2|0|1|32500000|31869090.909091|
"11140120299388"|"1114016200101600005"|"서울특별시 중구 신당동 160-5"|"신당아르브"|1|60|"2014-09-19"|0|1|0|1|32000000||
"11140120306255"|"1114016300100130001"|"서울특별시 중구 흥인동 13-1"|"청계천두산위브더제니스"|1|295|"2014-12-22"|0|1|0|1|41842105.263158|38049015.322075|36842105.263158
"11140120344343"|"1114016500108460000"|"서울특별시 중구 황학동 846"|"신당블루카운티"|1|29|"2016-11-18"|0|2|0|1|32500000|32250000|
"11140120345549"|"1114016800102170000"|"서울특별시 중구 순화동 217"|"덕수궁롯데캐슬"|2|296|"2016-08-31"|0|2|0|1|64917647.058824|57379954.870837|58732941.176471
"11140120353673"|"1114016500100190000"|"서울특별시 중구 황학동 19"|"그랜드힐오피스텔"|1|15|"2017-06-05"|0|1|0|1|26428571.428571||
"11140120359587"|"1114017400102730000"|"서울특별시 중구 만리동2가 273"|"서울역센트럴자이"|14|1341|"2017-08-07"|2|11|0.153846|0.846154|84592971.131433|69867492.589715|69423681.257015
"11140120360032"|"1114016300101420001"|"서울특별시 중구 흥인동 142-1"|"위더스하임"|2|68|"2018-01-08"|0|1|0|1|39857142.857143|44666666.666667|
"11140120365905"|"1114017400102880000"|"서울특별시 중구 만리동2가 288"|"서울역한라비발디센트럴"|4|199|"2018-09-05"|0|1|0|1|60576923.076923|55833333.333333|54615384.615385
"11140120375224"|"1114016500112000000"|"서울특별시 중구 황학동 1200"|"위너빌(Winnervill)"|1|42|"2018-09-20"|0|1|0|1|41111111.111111|40444444.444444|41111111.111111
"11140120391122"|"1114016200108560000"|"서울특별시 중구 신당동 856"|"신당KCC스위첸"|3|176|"2019-06-05"|0|5|0|1|56484848.484848|54265900.765901|54679292.929293
"11140120415255"|"1114016700100370000"|"서울특별시 중구 정동 37"|"삼정아트테라스정동"|1|168|"2020-12-21"|1|4|0.2|0.8|57000000|61211405.261405|58000000
"11140120419356"|"1114016200108570000"|"서울특별시 중구 신당동 857"|"약수역더시티"|1|153|"2021-03-26"|0|4|0|1|41979166.666667|42283333.333333|41500000
"11140120443196"|"1114015600102770000"|"서울특별시 중구 입정동 277"|"힐스테이트세운센트럴1단지"|1|414|"2023-02-24"|0|1|0|1|75333333.333333|59018315.018315|63333333.333333
"11140120443310"|"1114013400102400000"|"서울특별시 중구 인현동2가 240"|"세운푸르지오헤리시티"|1|614|"2023-01-16"|0|1|0|1|46666666.666667|51578231.292517|
"11170100000820"|"1117011800101180016"|"서울특별시 용산구 원효로4가 118-16"|"산호"|6|554|"1977-04-04"|0|9|0|1|82845694.329565|73711538.461538|
"11170100000833"|"1117012000100230000"|"서울특별시 용산구 도원동 23"|"삼성래미안"|15|1458|"2001-08-03"|0|13|0|1|57328965.905889|56053372.352285|59867788.461538
"11170100000838"|"1117012800100650500"|"서울특별시 용산구 한강로3가 65-500"|"철우"|2|60|"1978-02-11"|0|2|0|1|69523809.52381|65000000|
"11170100000839"|"1117012900101930003"|"서울특별시 용산구 이촌동 193-3"|"강변"|4|146|"1971-01-20"|0|1|0|1|52631578.947368|46371710.526316|
"11170100000841"|"1117012900104020000"|"서울특별시 용산구 이촌동 402"|"강촌"|9|1001|"1998-01-08"|0|4|0|1|96366910.866911|79220048.244438|79916872.123603
"11170100000847"|"1117012900104110000"|"서울특별시 용산구 이촌동 411"|"동아그린"|6|499|"1999-05-31"|0|2|0|1|72115384.615385|63757513.096223|72548433.048433
"11170100000849"|"1117012900103010010"|"서울특별시 용산구 이촌동 301-10"|"로얄맨숀"|1|72|"1972-09-19"|0|1|0|1|50000000|33928571.428571|
"11170100000850"|"1117012900103000027"|"서울특별시 용산구 이촌동 300-27"|"리버뷰"|1|56|"1970-10-20"|0|1|0|1|36956521.73913|30900621.118012|
"11170100000852"|"1117012900103010170"|"서울특별시 용산구 이촌동 301-170"|"반도"|2|192|"1977-01-12"|0|2|0|1|82195121.95122|65298373.98374|76829268.292683
"11170100000853"|"1117012900104220000"|"서울특별시 용산구 이촌동 422"|"북한강(성원)"|2|340|"2001-08-07"|0|1|0|1|97222222.222222|92111111.111111|90555555.555556
"11170100000859"|"1117012900103000011"|"서울특별시 용산구 이촌동 300-11"|"왕궁"|5|250|"1974-12-23"|0|3|0|1|90107526.88172|79483870.967742|75806451.612903
"11170100000860"|"1117012900103990001"|"서울특별시 용산구 이촌동 399-1"|"우성"|2|243|"1995-12-23"|0|1|0|1|96111111.111111|75801926.468593|72003968.253968
"11170100000861"|"1117012900104120000"|"서울특별시 용산구 이촌동 412"|"이촌코오롱(A)"|9|787|"1999-11-01"|0|1|0|1|100000000|80183150.18315|77799581.37101
"11170100000867"|"1117012900103000017"|"서울특별시 용산구 이촌동 300-17"|"중앙하이츠(A)"|1|16|"1996-02-09"|0|1|0|1|45081967.213115||
"11170100000872"|"1117012900104040000"|"서울특별시 용산구 이촌동 404"|"한가람"|19|2036|"1998-09-18"|0|7|0|1|105103174.603175|85571972.148522|85416408.377947
"11170100000873"|"1117012900104150000"|"서울특별시 용산구 이촌동 415"|"한강(대우)"|10|834|"2000-03-31"|0|2|0|1|116944444.444444|80779911.924119|83044871.794872
"11170100000874"|"1117012900103000023"|"서울특별시 용산구 이촌동 300-23"|"한강맨숀"|23|660|"1971-03-22"|0|1|0|1|146296296.296296|122518646.35681|118570360.037457
"11170100000875"|"1117012900103010160"|"서울특별시 용산구 이촌동 301-160"|"현대맨숀"|8|653|"1974-12-09"|0|3|0|1|71891666.666667|66848262.290288|56266348.651349
"11170100000877"|"1117012900104260000"|"서울특별시 용산구 이촌동 426"|"이촌동삼성리버스위트"|6|244|"2002-04-30"|0|1|0|1|90909090.909091|73841533.804948|73582251.082251
"11170100000878"|"1117013000107290000"|"서울특별시 용산구 이태원동 729"|"남산대림"|16|400|"1994-12-31"|0|7|0|1|74169719.169719|66133903.133903|63561253.561254
"11170100000882"|"1117013000107280000"|"서울특별시 용산구 이태원동 728"|"주공1"|8|130|"1993-04-24"|0|1|0|1|65384615.384615|62307692.307692|
"11170100000883"|"1117013000100220002"|"서울특별시 용산구 이태원동 22-2"|"청화1"|9|578|"1982-09-18"|0|1|0|1|70566037.735849|65106883.753826|64724067.014854
"11170100000896"|"1117013100102630010"|"서울특별시 용산구 한남동 263-10"|"성아1"|1|93|"1970-10-27"|1|0|1|0|26111111.111111||
"11170100000899"|"1117013100100010349"|"서울특별시 용산구 한남동 1-349"|"시범"|4|120|"1970-10-10"|0|4|0|1|55992063.492063|50000000|50000000
"11170100000926"|"1117013100108050000"|"서울특별시 용산구 한남동 805"|"현대하이페리온"|2|122|"2002-12-27"|0|1|0|1|82258064.516129|73746376.811594|70500000
"11170100000937"|"1117013300102410021"|"서울특별시 용산구 서빙고동 241-21"|"신동아"|15|1326|"1984-06-28"|0|9|0|1|99844993.998669|80936582.943993|88965517.241379
"11170100000945"|"1117011500101930000"|"서울특별시 용산구 산천동 193"|"리버힐삼성"|14|1102|"2001-01-10"|0|6|0|1|56553317.053317|53589649.666573|50990028.490028
"11170100000946"|"1117011500102040000"|"서울특별시 용산구 산천동 204"|"한강타운"|3|289|"2001-02-22"|0|4|0|1|49791666.666667|46685763.888889|47222222.222222
"11170100050201"|"1117012900104140000"|"서울특별시 용산구 이촌동 414"|"이촌코오롱(B)"|1|47|"1999-11-01"|0|4|0|1|101805555.555556|88148148.148148|
"11170100051311"|"1117013100108070000"|"서울특별시 용산구 한남동 807"|"한남힐스테이트"|6|283|"2003-10-02"|0|1|0|1|63750000|66574693.42252|69615384.615385
"11170100052913"|"1117012900104300000"|"서울특별시 용산구 이촌동 430"|"LG한강자이"|10|656|"2003-04-28"|0|2|0|1|108536585.365854|85560011.832223|108500000
"11170100052982"|"1117011100101320015"|"서울특별시 용산구 청파동3가 132-15"|"베르체"|1|14|"2003-04-26"|0|1|0|1|30937500|28063725.490196|
"11170100248284"|"1117012800100160020"|"서울특별시 용산구 한강로3가 16-20"|"원효전자상가"|1|66|"1974-10-15"|0|1|0|1|64705882.352941|40733162.83035|
"11170100256672"|"1117012200100400019"|"서울특별시 용산구 문배동 40-19"|"삼라마이다스빌2"|1|95|"2004-06-14"|0|1|0|1|42307692.307692|34090909.090909|
"11170100256703"|"1117010100104580000"|"서울특별시 용산구 후암동 458"|"브라운스톤남산"|4|90|"2004-08-24"|0|1|0|1|35294117.647059||
"11170100448222"|"1117011400101020000"|"서울특별시 용산구 신창동 102"|"세방리버하이빌"|3|176|"2005-04-11"|0|6|0|1|45722934.472934|42307692.307692|
"11170100618606"|"1117012500100020008"|"서울특별시 용산구 한강로2가 2-8"|"벽산메가트리움"|2|248|"2005-05-06"|1|1|0.5|0.5|60374493.927126|58942307.692308|55769230.769231
"11170120007848"|"1117012200100070006"|"서울특별시 용산구 문배동 7-6"|"이안용산1차(102동)"|1|70|"2005-11-30"|0|2|0|1|46666666.666667|40839743.589744|
"11170120007851"|"1117012400100500001"|"서울특별시 용산구 한강로1가 50-1"|"용산파크자이"|3|310|"2005-12-23"|0|2|0|1|67333333.333333|48005006.424386|49594594.594595
"11170120045559"|"1117012200100400039"|"서울특별시 용산구 문배동 40-39"|"이안용산3차"|1|47|"2006-05-30"|0|3|0|1|50988529.014845||
"11170120050624"|"1117013100108090000"|"서울특별시 용산구 한남동 809"|"대성이태리하우스"|1|49|"2006-07-25"|0|2|0|1|58578595.317726||
"11170120054541"|"1117012800100160085"|"서울특별시 용산구 한강로3가 16-85"|"한강자이에클라트"|1|89|"2006-07-26"|0|1|0|1|52692307.692308|54838709.677419|
"11170120055132"|"1117012800100910000"|"서울특별시 용산구 한강로3가 91"|"우림필유"|4|144|"2006-09-15"|0|1|0|1|71153846.153846||
"11170120060187"|"1117010100102440090"|"서울특별시 용산구 후암동 244-90"|"명남아띠팰리스"|1|19|"2006-12-27"|0|1|0|1|47826086.956522|44047619.047619|
"11170120066935"|"1117012200100240021"|"서울특별시 용산구 문배동 24-21"|"아크로타워"|2|208|"2007-01-22"|0|2|0|1|44210526.315789||
"11170120071660"|"1117012200100030003"|"서울특별시 용산구 문배동 3-3"|"이안용산프리미어"|2|188|"2007-07-24"|0|2|0|1|52307692.307692|46465617.715618|47913752.913753
"11170120071661"|"1117012200100240006"|"서울특별시 용산구 문배동 24-6"|"CJ나인파크"|2|280|"2007-07-02"|0|2|0|1|52400530.503979|56538461.538462|
"11170120071988"|"1117012800100630387"|"서울특별시 용산구 한강로3가 63-387"|"시티파크(2단지)"|2|208|"2007-08-21"|0|2|0|1|87500000|80735924.406977|
"11170120071989"|"1117012800100630389"|"서울특별시 용산구 한강로3가 63-389"|"용산시티파크(1단지)"|3|421|"2007-08-21"|0|1|0|1|69886363.636364|73367528.603258|70272727.272727
"11170120101689"|"1117012900103010155"|"서울특별시 용산구 이촌동 301-155"|"두산위브트레지움"|1|84|"1976-12-04"|0|2|0|1|59222222.222222|53703703.703704|53703703.703704
"11170120116770"|"1117012700100240000"|"서울특별시 용산구 용산동5가 24"|"용산파크타워(24-0)"|3|597|"2009-05-15"|0|3|0|1|86435185.185185|78233997.622109|
"11170120116771"|"1117012700100240001"|"서울특별시 용산구 용산동5가 24-1"|"용산파크타워(24-1)"|3|291|"2009-05-15"|0|1|0|1|91818181.818182|79882227.986125|
"11170120131080"|"1117011900102740000"|"서울특별시 용산구 효창동 274"|"효창파크푸르지오"|7|307|"2010-08-31"|0|1|0|1|80555555.555556|67609686.609687|67034188.034188
"11170120135016"|"1117013100108100000"|"서울특별시 용산구 한남동 810"|"한남더힐"|32|600|"2011-01-07"|0|1|0|1|200000000|158231942.849384|130985915.492958
"11170120136726"|"1117012300100480000"|"서울특별시 용산구 신계동 48"|"용산e편한세상"|13|867|"2011-04-01"|0|4|0|1|78942307.692308|73576527.215475|67732793.522267
"11170120169883"|"1117012200100240008"|"서울특별시 용산구 문배동 24-8"|"프라임팰리스"|1|83|"2012-12-31"|0|1|0|1|37500000|40687500|
"11170120286127"|"1117011200100410000"|"서울특별시 용산구 원효로1가 41"|"용산더프라임"|1|559|"2014-02-17"|2|0|1|0|58500000|59322906.027648|48918918.918919
"11170120313915"|"1117012200100110010"|"서울특별시 용산구 문배동 11-10"|"용산KCC웰츠타워"|2|232|"2015-03-27"|0|3|0|1|61649572.649573|56425641.025641|
"11170120330969"|"1117012900104360000"|"서울특별시 용산구 이촌동 436"|"래미안첼리투스"|3|460|"2015-07-30"|0|4|0|1|123189473.684211|111483644.736842|116774868.421053
"11170120348386"|"1117013100108280000"|"서울특별시 용산구 한남동 828"|"한남아이파크애비뉴"|1|280|"2017-03-08"|0|3|0|1|62888888.888889|62244897.959184|63333333.333333
"11170120380656"|"1117011900102860000"|"서울특별시 용산구 효창동 286"|"용산케이씨씨스위첸"|3|199|"2018-09-21"|0|1|0|1|63461538.461538|67635327.635328|67799145.299145
"11170120384098"|"1117012900103020053"|"서울특별시 용산구 이촌동 302-53"|"월드메르디앙"|1|56|"1971-11-20"|0|1|0|1|54285714.285714||
"11170120386121"|"1117011900102870000"|"서울특별시 용산구 효창동 287"|"용산롯데캐슬센터포레"|7|478|"2019-04-29"|0|3|0|1|95968660.968661|79317708.333333|79696581.196581
"11170120395488"|"1117013100108290000"|"서울특별시 용산구 한남동 829"|"나인원한남"|9|341|"2019-11-13"|0|1|0|1|203174603.174603|197269202.650729|240963855.421687
"11170120413028"|"1117012800100980000"|"서울특별시 용산구 한강로3가 98"|"센트럴파크"|5|1140|"2020-08-20"|0|3|0|1|110952380.952381|96583161.992878|102238095.238095
