"HSMP_INNB","PNU","LNNO_ADRES","POTVALE_IFRA_HSMP_NM","DONG_CNT","NMHSH","USE_APRV_YMD","DRTS_CASCNT","BKAG_CASCNT","DRTS_RATE","BKAG_RATE","PCPP","OLYR_PCPP","SMLYC_PCPP"
"31110120068161","3111011100104250001","울산광역시 중구 태화동 425-1","오성사랑채",1,18,"2007-05-22",0,1,0,1,11538461.538462,,
"31110120071533","3111011500105010001","울산광역시 중구 남외동 501-1","남외푸르지오2차",9,710,"2007-07-30",0,3,0,1,18860628.618693,18954976.63544,18490074.441687
"31110120071614","3111011500102300000","울산광역시 중구 남외동 230","나이스빌",1,18,"2007-08-16",0,1,0,1,11153846.153846,,
"31110120118185","3111010600102550001","울산광역시 중구 성남동 255-1","롯데캐슬스카이",1,132,"2009-02-12",0,1,0,1,10937500,10625951.29376,
"31110120118265","3111010800101720000","울산광역시 중구 우정동 172","마제스타워",3,396,"2009-01-12",0,5,0,1,12891384.615385,12753511.705686,11681730.769231
"31110120126430","3111011000101420000","울산광역시 중구 유곡동 142","유곡e편한세상",10,651,"2010-02-24",1,6,0.142857,0.857143,19120674.281858,19400809.716599,
"31110120126899","3111011500105090001","울산광역시 중구 남외동 509-1","삼환나우빌1단지",2,55,"2010-03-30",0,1,0,1,10952380.952381,10733250.809952,10731707.317073
"31110120126929","3111010800106890000","울산광역시 중구 우정동 689","우정I'PARK",10,820,"2010-03-30",0,5,0,1,21753846.153846,20311683.686684,20961538.461538
"31110120126938","3111011500105080001","울산광역시 중구 남외동 508-1","삼환나우빌2단지",4,221,"2010-03-30",0,3,0,1,14582905.982906,14497612.289732,
"31110120127043","3111010500100820001","울산광역시 중구 옥교동 82-1","태화강엑소디움",2,420,"2010-03-30",0,3,0,1,17895981.08747,17480138.913888,18587120.118096
"31110120128880","3111011000100690000","울산광역시 중구 유곡동 69","울산유곡푸르지오",10,911,"2010-04-30",0,12,0,1,18860176.282051,19861025.993238,20192307.692308
"31110120180506","3111011000102600000","울산광역시 중구 유곡동 260","우정혁신도시푸르지오",6,478,"2013-06-26",0,5,0,1,20627090.301003,19399083.902865,17564102.564103
"31110120182475","3111010900103990003","울산광역시 중구 성안동 399-3","성안하이페리온",1,18,"2013-08-13",0,1,0,1,9346153.846154,,
"31110120277169","3111011600101910000","울산광역시 중구 장현동 191","에일린의뜰2차아파트",15,712,"2013-10-28",0,7,0,1,17539417.104634,17002882.156207,16538461.538462
"31110120277194","3111011000102590000","울산광역시 중구 유곡동 259","우정혁신도시1차동원로얄듀크",4,309,"2013-10-28",0,2,0,1,19663461.538462,19572115.384615,19192307.692308
"31110120277235","3111011000102640000","울산광역시 중구 유곡동 264","에일린의뜰1차",3,200,"2013-10-28",0,3,0,1,19564102.564103,19057692.307692,18923076.923077
"31110120278346","3111010900103750001","울산광역시 중구 성안동 375-1","힐그린파크",1,32,"2013-12-06",0,1,0,1,8269230.769231,8461538.461538,8461538.461538
"31110120284938","3111010900108510020","울산광역시 중구 성안동 851-20","베네치아6차",1,18,"2014-01-22",0,1,0,1,9692307.692308,,
"31110120287958","3111011600101810000","울산광역시 중구 장현동 181","골드클래스",10,478,"2014-04-28",1,3,0.25,0.75,14900501.672241,14462890.486017,
"31110120297762","3111011000102150000","울산광역시 중구 유곡동 215","우정혁신도시2차동원로얄듀크",10,652,"2014-06-27",0,4,0,1,24269230.769231,23598416.289593,23038461.538462
"31110120301403","3111011800104480003","울산광역시 중구 반구동 448-3","반구신동아파밀리에",5,290,"2014-10-30",0,1,0,1,14130434.782609,14161767.29449,14346153.846154
"31110120304572","3111011100102240000","울산광역시 중구 태화동 224","우정혁신호반베르디움",6,346,"2014-11-03",0,1,0,1,19416666.666667,19781250,
"31110120306682","3111011000102710002","울산광역시 중구 유곡동 271-2","에일린의뜰3차",9,685,"2014-07-31",0,1,0,1,18833333.333333,19386045.980164,19360000
"31110120306698","3111011100102070002","울산광역시 중구 태화동 207-2","우정혁신엘에이치3단지",5,492,"2014-11-06",0,3,0,1,20555555.555556,18601851.851852,19000000
"31110120306709","3111011100102570000","울산광역시 중구 태화동 257","우정혁신엘에이치2단지",6,536,"2014-11-06",0,5,0,1,18966666.666667,18068089.430894,18366666.666667
"31110120313290","3111011800106790000","울산광역시 중구 반구동 679","e편한세상강변",11,1112,"2015-03-02",0,4,0,1,21064057.611393,19756876.266168,18714285.714286
"31110120325520","3111011400106130000","울산광역시 중구 서동 613","우정혁신도시KCC스위첸",12,424,"2015-09-16",0,1,0,1,19076923.076923,17168060.200669,16833333.333333
"31110120327115","3111011700111010000","울산광역시 중구 약사동 1101","약사아이파크",13,689,"2015-09-25",0,4,0,1,24829545.454545,23346719.887042,23205808.080808
"31110120328385","3111010300107660000","울산광역시 중구 복산동 766","번영로효성해링턴플레이스1차아파트",4,207,"2015-11-04",1,1,0.5,0.5,19975524.475524,19959790.20979,
"31110120328386","3111010300107700000","울산광역시 중구 복산동 770","번영로효성해링턴플레이스2차아파트",4,205,"2015-11-04",0,1,0,1,24055555.555556,21297979.79798,21138888.888889
"31110120338881","3111010300100400009","울산광역시 중구 복산동 40-9","번영로드림파크",1,260,"2016-06-13",0,2,0,1,9555555.555556,9679764.679765,10857142.857143
"31110120347951","3111011700111080000","울산광역시 중구 약사동 1108","울산약사더샵",11,449,"2017-02-14",0,4,0,1,27636904.761905,26300491.175491,26353479.85348
"31110120354773","3111010300107760000","울산광역시 중구 복산동 776","복산아이파크",7,419,"2017-06-30",0,2,0,1,21365384.615385,20360367.204812,17903846.153846
"31110120359396","3111011800100410020","울산광역시 중구 반구동 41-20","엘리시아",1,49,"2017-11-28",0,1,0,1,12000000,12060439.56044,
"31110120381197","3111010300107790000","울산광역시 중구 복산동 779","번영로서한이다음1단지",6,208,"2018-11-14",0,1,0,1,21692307.692308,20917832.167832,
"31110120383977","3111010100103560000","울산광역시 중구 학성동 356","학성동파크디아채",1,209,"2019-01-31",0,3,0,1,12703455.964326,12271141.901577,
"31110120396228","3111010100104680010","울산광역시 중구 학성동 468-10","플로렌스쉐르빌",1,26,"2019-12-17",0,1,0,1,11826086.956522,11469342.251951,
"31110120430774","3111010400101280002","울산광역시 중구 북정동 128-2","동양아파트2동",1,37,"1979-07-03",0,1,0,1,21157894.736842,19934210.526316,
"31140100016924","3114010100102750001","울산광역시 남구 무거동 275-1","굴화주공1",12,1046,"1997-04-10",0,3,0,1,11722222.222222,11641975.308642,11351851.851852
"31140100016925","3114010100102760001","울산광역시 남구 무거동 276-1","굴화주공2",11,836,"1995-12-17",0,7,0,1,11203174.603175,11517592.592593,11504166.666667
"31140100016926","3114010100109270006","울산광역시 남구 무거동 927-6","남운그린힐",1,315,"1988-05-10",0,4,0,1,4750000,5515795.206972,5500000
"31140100016932","3114010100115510000","울산광역시 남구 무거동 1551","무거청구맨션",2,285,"1997-10-30",0,2,0,1,9388888.888889,8601645.299145,8566239.316239
"31140100016934","3114010100115380000","울산광역시 남구 무거동 1538","무거한라2차",1,170,"1996-06-17",0,2,0,1,9884615.384615,9746031.746032,8888888.888889
"31140100016935","3114010100115430000","울산광역시 남구 무거동 1543","무거한라3차",1,120,"1996-08-27",0,1,0,1,9333333.333333,9539886.039886,
"31140100016936","3114010100115390000","울산광역시 남구 무거동 1539","무거한라4차",1,152,"1997-06-28",1,1,0.5,0.5,10750000,10720085.470085,11277777.777778
"31140100016940","3114010100111830001","울산광역시 남구 무거동 1183-1","삼호",3,400,"1992-07-14",0,1,0,1,7500000,8613888.888889,8564814.814815
"31140100016945","3114010100115530000","울산광역시 남구 무거동 1553","신복현대",3,651,"1996-04-22",1,3,0.25,0.75,6319444.444444,6740530.30303,6833333.333333
"31140100016948","3114010100115200008","울산광역시 남구 무거동 1520-8","신세대3차",1,44,"1996-12-06",1,0,1,0,7222222.222222,8166666.666667,
"31140100016950","3114010100108310001","울산광역시 남구 무거동 831-1","영남파크",1,84,"1990-08-30",0,1,0,1,6166666.666667,6000000,
"31140100016954","3114010100104770001","울산광역시 남구 무거동 477-1","울산옥현1주공",11,733,"2000-04-03",0,2,0,1,13455555.555556,13194337.606838,12875000
"31140100016955","3114010100104780001","울산광역시 남구 무거동 478-1","울산옥현주공2",11,834,"2000-04-03",0,4,0,1,15125000,15274844.980727,16153846.153846
"31140100016961","3114010100108320002","울산광역시 남구 무거동 832-2","무거현대",3,677,"1995-02-11",1,0,1,0,8333333.333333,7654319.425701,7783085.919928
"31140100016962","3114010100105690004","울산광역시 남구 무거동 569-4","협성벽산",1,163,"1990-08-29",0,1,0,1,7142857.142857,7296296.296296,7000000
"31140100016964","3114010100108440002","울산광역시 남구 무거동 844-2","홍일유토피아",1,98,"1991-02-02",0,1,0,1,7860000,7125000,
